water_body_id,water_area_mean,water_area_current,water_area_change,water_area_change_percent,mndwi_mean,mndwi_trend,ndwi_mean,ndvi_mean,annual_rainfall,builtup_percentage,data_quality_score
WB_HYD_001,,,0.0,,,-0.01,,,,Urban/Built-up Fringe,0.95
WB_HYD_001,,,0.0,,,-0.01,,,,Urban/Built-up Fringe,0.95
WB_HYD_001,,,0.0,,,-0.01,,,,Urban/Built-up Fringe,0.95
WB_HYD_001,,,0.0,,,-0.01,,,,Urban/Built-up Fringe,0.95
WB_HYD_001,,,0.0,,,-0.01,,,,Urban/Built-up Fringe,0.95
WB_HYD_001,,,0.0,,,-0.01,,,,Urban/Built-up Fringe,0.95
WB_HYD_001,,,0.0,,,-0.01,,,,Urban/Built-up Fringe,0.95
WB_HYD_001,,,0.0,,,-0.01,,,,Urban/Built-up Fringe,0.95
WB_HYD_001,,,0.0,,,-0.01,,,,Urban/Built-up Fringe,0.95
WB_HYD_001,,,0.0,,,-0.01,,,,Urban/Built-up Fringe,0.95
WB_HYD_001,,,0.0,,,-0.01,,,,Urban/Built-up Fringe,0.95
WB_HYD_001,,,0.0,,,-0.01,,,,Urban/Built-up Fringe,0.95
